Setor,Data,Disponibilidade_Meta,Disponibilidade_Real,Desempenho_Meta,Desempenho_Real,Qualidade_Meta,Qualidade_Real,OeeVisaoGeral_Meta,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Meta,CapacidadeReal_Real,CapacidadeInstalada_Meta,CapacidadeInstalada_Real,UtilizacaoCapacidade_Meta,UtilizacaoCapacidade_Real,CaixasNaoProduzidas_Meta,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Meta,HorasAdicionaisAoProcesso_Real,HorasParadas_Meta,HorasParadas_Real,HorasReais_Meta,HorasReais_Real,DescartesCaixas_Meta,DescartesCaixas_Real,DescartesTampas_Meta,DescartesTampas_Real,DescartesEmbalagens_Meta,DescartesEmbalagens_Real,Refugo_Meta,Refugo_Real,SegundaLinha_Meta,SegundaLinha_Real
CORTE DE BOBINAS,29/01/2020,,1.00,,1.07,,1.00,,1.07,-3.25,47.00,,1.07,,43.75,,,13.76,,0h,0,13,76,0,2,75,8:45,,,,,,,,,,
CORTE DE A4,30/01/2020,,0.80,,0.86,,0.98,,0.67,16.66,105.00,,0.69,,152.07,,,36.01,30.41,0h,0,36,01,1:45,2,59,7,,,,,,0.01,,0.01,,0.01
CORTE DE BOBINAS,30/01/2020,,0.74,,0.97,,1.00,,0.72,0.94,33.00,,0.72,,45.69,,,10.67,11.75,0h,0,10,67,2:15,2,75,6:30,,,,,,,,,,
IMPRESSÃO,30/01/2020,,1.00,,0.60,,1.00,,0.60,10502.78,15600.00,,0.60,,26102.78,,,11615.74,,0h,0,11.615,74,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,31/01/2020,,1.00,,0.81,,-∞,,-∞,30.50,127.00,,0.81,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.02,,0.01
CORTE DE BOBINAS,31/01/2020,,1.00,,1.06,,1.00,,1.06,-3.80,63.00,,1.06,,59.20,,,18.61,,0h,0,18,61,0,2,75,8:45,,,,,,,,,,
CORTE DE A4,03/02/2020,,0.88,,1.41,,1.00,,1.24,-50.80,174.00,,1.24,,140.00,,,36.47,16.80,0h,0,36,47,1:03,2,59,7:42,,,,,,0.00,,0.00,,
CORTE DE A4,04/02/2020,,1.00,,0.79,,-∞,,-∞,32.50,125.00,,0.79,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.01,,0.01
CORTE DE BOBINAS,04/02/2020,,1.00,,0.79,,0.99,,0.79,15.74,61.00,,0.79,,76.74,,,24.13,,0h,0,24,13,0,2,75,8:45,,,,,,,,0.01,,
IMPRESSÃO,04/02/2020,,1.00,,0.79,,1.00,,0.79,7100.00,27200.00,,0.79,,34300.00,,,15263.50,,0h,0,15.263,50,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,05/02/2020,,1.00,,0.86,,-∞,,-∞,22.50,135.00,,0.86,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.02,,0.01
CORTE DE BOBINAS,05/02/2020,,0.88,,1.24,,1.00,,1.08,-16.13,84.00,,1.08,,77.46,,,21.34,9.59,0h,0,21,34,1:05,2,75,7:40,,,,,,,,0.00,,
IMPRESSÃO,05/02/2020,,1.00,,0.22,,1.00,,0.22,26700.00,7600.00,,0.22,,34300.00,,,15263.50,,0h,0,15.263,50,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,06/02/2020,,1.00,,0.96,,0.99,,0.95,5.81,135.00,,0.96,,140.81,,,41.68,,0h,0,41,68,0,2,59,8:45,,,,,,0.00,,0.00,,
CORTE DE BOBINAS,06/02/2020,,0.66,,0.90,,0.97,,0.58,5.15,49.00,,0.59,,82.41,,,17.03,28.25,0h,0,17,03,3,2,75,5:45,,,,,,,,0.03,,
IMPRESSÃO,06/02/2020,,1.00,,0.14,,0.99,,0.14,29600.00,4700.00,,0.14,,34300.00,,,15263.50,,0h,0,15.263,50,0,3,89,8:45,,,,,,,,0.01,,
CORTE DE A4,07/02/2020,,1.00,,0.71,,0.99,,0.71,40.00,100.00,,0.71,,140.00,,,41.44,,0h,0,41,44,0,2,59,8:45,,,,,,0.00,,0.00,,
